Average,A central value representative of a data set (see arithmetic mean).
abstract,A brief summary at the start of a paper summarising the content. 
control signal,A pulse of electricity that is used to control the movement of data or instructions in a processor.
Micro-Electro-Mechanical Sensors (MEMS),A miniature electro-mechanical system that can fit on a silicon chip. It is commonly used in making accelerometers and gyroscopes in electronic devices.
Acceptable Use Policy (AUP),A document that lays out the activities that the provider considers to be an improper or illegal use of their services. (Also see Cloud Service Agreement (CSA).
transistor,A semiconductor device used to amplify or switch electronic signals and electrical power.
control unit,A part of the processor that is responsible for the overall control of the processor.
Personal area network,A short-range communication network for portable devices such as mobile phones and computers.
application layer,The layer of a cloud architecture that includes applications and data. 
data bus,"An electrical pathway that carries symbolic representations of data between parts of a computer system, usually between the processor, memory and input/output ports. "
bibliographic citation,"A reference to the source of information used in a piece of work, but not directly cited in the text. "
Photodiode,An electronic component that allows current to flow through in one direction when lights shine on it.
two's complement,A way of representing signed integers in a computer. 
data register,A register that holds data before and after it is processed.
BYOD,"Bring your own device. A reference to a working practice where employees are expected to use their own phone, tablet or laptop for work purposes. "
Phubbing,The practice of ignoring one's companion or companions in order to pay attention to one's phone or other mobile device.
Pixel sensor,A tiny sensor that measures the amount of light incident on it. 
Cloud computing,"A system where users access a virtual machine that sits on a remote server, and the data and information the user exchanges with the server is delivered via Internet connections, rather than specific networks. "
Cloud Service Agreement (CSA),A document that lays out the relationship between a cloud user and a cloud provider. It often includes an Acceptable Use Policy (AUP) and a Service Level Agreement (SLA). 
Point-to-point communication,A method that allows two devices communicate directly without going through a third party.
underflow,The condition that occurs when the result of a calculation is a smaller in magnitude than the computer can actually store in memory. 
device driver,A program that controls hardware. Typically a device driver contains code to implement the protocols and standards for specific hardware. They allow high-level programs to control hardware by using the functionality offered by the device driver. 
community cloud,A cloud that is for the exclusive use by a specific community of consumers from organisations that have shared concerns. 
Range,A way of quantifying the spread of the values in a data set.
unicode,"An international encoding standard for use with different languages and scripts, by which each letter, digit, or symbol is assigned a unique numeric value."
expansion bus,An electrical pathway that moves information between the internal hardware of a computer system (including the processor and RAM) and peripheral devices. 
unsigned integer,An integer that is greater than or equal to 0. 
fetch-decode-execute cycle,"The algorithm that is followed by the processor in order to process an instruction.It is central to the operation of all computers. First get the next instruction, then decide what type of instruction it is and so what data the instruction needs to have available, then execute the instruction. "
Containers-as-a-service (CaaS),A cloud service based on container technology.
Resolution,A measure of how many pixels can be recorded by an image sensor. 
floating point unit (FPU),"The part of the processor that performs arithmetic and logic operations on floating point numbers, floating point numbers can be thought of as those containing a decimal point. "
continuous delivery,"A software engineering approach in which teams update software in short cycles, ensuring that the software can be reliably released at any time. It aims at building, testing, and releasing software faster and more frequently. "
Smart phone,A mobile phone that runs an operating system and allows you to extend the mobile phone's functionality by installing applications.
UTF-8,A standard encoding system for text. 
data centre,"A large group of networked computer servers typically used by organisations for the remote storage, processing, or distribution of large amounts of data."
invoke,See call.
Software development kit (SDK),A set of software libraries released by a manufacturer or software provider to enable third party developers to access the internal functions of their products. 
algorithm,"Introduced in TM111 Block 2 Part 2 Section4 where it was defined as ""A sequence of structured, unambiguous, step-by-step instructions"". Then developed further in TM111 Block 2 Part 6 where it is discussed outside the context of programming."
graphic processing unit (GPU),"A?specialized electronic circuit designed to rapidly manipulate and alter memory to accelerate the creation of images,intended for output to a display. "
Docker,"A software containerisation platform. See container, CaaS. "
assignment,A statement of the form x = e where x is a variable and e is an expression. The effect of the statement is to calculate the value of the expression and to make the name x refer to it. 
code,Statements in a computer language that implement an algorithm.
downtime,The time during which cloud services are not available. 
Subscriber Identity Module (SIM),"Stores identification information for the mobile service provider and user, an authentication key for authentication and encryption, and other operational data."
comment,"Text, aimed at a human reader, saying what some code does. Ignored when the code is executed. In Python, a comment is a line of text that starts with the # symbol. It is ignored by the Python interpreter."
element,"A value in a list, selected by an index."
edge computing,A cloud technology that puts the data and some of its computation closer to the end-user. (Also called fog computing). 
graphical user interface (GUI),"An interface based on graphical representations of objects in a computer system, which are manipulated using pointing and gesture-based devices."
fog computing,A cloud technology that puts the data and some of its computation closer to the end-user. (Also called edge computing). 
green computing,The environmentally responsible and eco-friendly use of computers and their resources.
System-on-a-chip,A microchip that contains the main components of a computer system.
Text-walking,The practice of texting (or being otherwise distracted by a mobile phone) whilst walking.
conditional statement,"A statement where some code only gets executed under certain circumstances, determined by a boolean condition."
hybrid cloud,"A cloud that is a composition of two or more distinct cloud types (private cloud,community cloud, or public cloud). "
Infrastructure as a Service (IaaS),"A cloud service that provides off-site server, storage and networking hardware. See also infrastructure layer. "
construct,See programming construct.
System-in-a-package,A microchip that contains all the components of a computer system.
infrastructure layer,"The physical layer of a cloud architecture consisting of the hardware, such as servers, networking hardware and storage. "
microkernel,The near-minimum amount of software that can provide the mechanisms needed to implement an operating system. 
decomposing,Dividing a problem into smaller steps to help with the solution. We can decompose into sub-problems and/or algorithm steps.
Argument (of a function),"An argument arg is an expression that can be combined with a function name fun to construct a new expression fun(arg). This new expression can be used to call the function fun(). When a function is called, the parameters of the function are initialised with its arguments. "
haptic device,A device that the user interacts with through the sense of touch. 
multi-tenancy,An architecture in which a single server serves multiple customers.
for,A keyword introducing a loop in Python.
hexadecimal,(Or hex) a base-16 number system. 
Platform as a Service (PaaS),A cloud service that provides a platform on which applications can be developed and run. See also platform layer. 
high-level programming language,"A programming language in which a programmer writes statements that are translated into a complex series of machine code instructions. The statements are usually thought of as being closer to a human language, or the language of the problem being solved, than the language of the machine. (see also low-level programming language)"
iteration,When a piece of code gets executed several times.
hypervisor,A program that allows multiple operating systems to share a single hardware host.
instruction set,The set of instructions that a family of processors can execute. 
platform layer (or middleware),The layer of a cloud architecture that provides an interface between the applications and the hardware. See also PaaS.
Body (of a function),The body of a function follows the function header.It is indented (with four spaces). The body contains the statements that are executed when the function is called. It can also contain comments and a docstring (as the first statement). 
if,Keyword used to program a conditional statement.
index,An integer used to select a value from a list.
interpreter,A computer program that takes as input one or more files containing the text of another computer program (known as the source code). It translates the program statements into another programming language (usually from high-level to low-level) only when required during the execution of the program. 
low-level programming language,"A programming language that uses symbolic representations of instructions, data and addresses that are close to the machine language of the processor on which it will execute. See assembler. (See also high-level programming language) "
machine code,See machine language.
Power Usage Effectiveness (PUE),The ratio of the total amount of energy used by a computer data centre facility to the energy delivered to computing equipment. 
Built-in Python functions,The are functions for which the Python interpreter knows how to handle them. They are available without the programmer having to add any additional code to their program.
list,A data structure consisting of a sequence of values.
machine language,"A very low level, symbolic, representation of instructions at the level of the instruction set of a processor. Usually using a binary numeric representation. "
private cloud,Cloud computing services that are private to a particular group of users. 
loop,Where some code is executed a number of times.
main memory,The volatile memory where data and instructions are held immediately before they are transferred into the processor. 
memory address,The numeric value that signifies a specific location in memory at which data can be stored and retrieved. 
public cloud,"Cloud computing services that are made available to the public (this is commonly what is meant by ""the cloud"". (Compare with private cloud, hybrid cloud and community cloud). "
call (of a function),"A function call results in the function's parameters being initialised with the function's arguments and the statements in the body of the function being executed. Suppose a function is named fun and it has n arguments arg_1, ?, arg_n. Then, this function can be called in a program or on the Python shell with a statement of the form fun(arg_1,  ? , arg_n). If the function has no arguments, it can be called using fun()."
microchip,"(Sometimes just called a ""chip"") a unit of packaged computer circuitry that is manufactured from a material such as silicon at a very small scale."
redundancy,(As applied to computing) a situation in which duplicate equipment is provided to take over in case of failure occurring. 
container,(As applied to computing) a cloud technology where the virtualisation happens within the operating system itself; a container is a portable module in which software can be run.
mnemonics,"Generally an easily remembered alternative to a complex phrase or list (e.g. The initial letters of ""?Richard Of York Gave Battle In Vain' as a reminder of the colours of the rainbow in order Red, Orange, Yellow, Green, Blue, Indigo, Violet). In assembly language they are easily remembered names that stand for the binary values of instructions (ADD, SUB, MUL, MOV ""? add, subtract, multiply, move)."
motherboard,"A printed circuit board containing the principal components of a computer or other device, with connectors for other circuit boards to be slotted into. "
multi-core processor,"A single chip that contains two or more independent processors (called ""cores""). "
object code,"Output from a compiler, usually in machine language, that is ultimately executed by a processor "
review paper,"(Sometimes also referred to as a survey paper). A paper that doesn't present new information but summarises multiple primary research papers to give a sense of the consensus, debates, and unanswered questions within a field at a snapshot in time. "
programming construct,A way of structuring code that a programming language recognises as having a particular meaning.
bootstrapping,"A self-starting process that is supposed to proceed without external input.In computing examples are using an initialisation program to configure a computer, immediately after it is switched on, and then to go on to load a larger program (usually an operating system), or writing a compiler in the source programming language that it intends to compile."
object program,See object code . 
operating system,Software that manages computer hardware and software resources and provides common services for computer programs. 
service-level agreement (SLA),A formal description of the availability and performance a cloud user can expect from a cloud service. See also Cloud Service Agreement (CSA) and Acceptable Use Policy (AUP). 
overclocking,"The action of increasing a processor's clock rate, running it at a higher speed than it was designed to run. "
variables-as-labels metaphor,In the variables-as-labels metaphor a variable is compared to a label or luggage tag. Those labels or tags can be attached to (and removed again from) objects.
selection,Where some code is only carried out under certain circumstances.
peripheral device,Any auxiliary device such as a computer mouse or keyboard that connects to and works with the computer in some way. 
Software as a service (SaaS),A cloud service where an application hosted on a remote server can be accessed over the Internet. 
syntax,Rules specifying the structure of a language.
peripheral component interconnect (PCI),"A specialised high-speed bus to connect performance-critical devices, such as video devices and networking cards."
survey paper,"(Sometimes also referred to as a review paper). A paper that doesn't present new information but summarises multiple primary research papers to give a sense of the consensus, debates, and unanswered questions within a field at a snapshot in time. "
persistent memory,Memory that allows data to be accessed even after the process that created it has ended. 
unikernel technology,A technology that packages the essentials of an operating system needed to run an application within a container. 
pipelining,A form of processing instructions in which successive steps of an instruction sequence are executed in such a way that another instruction can be begun before the previous one is finished. 
sequence,A series of actions carried out on after another.
port,An interface between the computer and other computers or peripheral devices. 
uptime,The time during which cloud services are available.
processor,"(Also see central processing unit, CPU) the core of the computer system that interprets and executes instructions, performs arithmetic and logic, and controls input, output and storage access. "
utility computing,"A service provisioning model in which a service provider makes computing resources and infrastructure management available to the customer as needed, via a terminal, and charges them for specific usage rather than a flat rate. "
variable,A name associated with a value.
processor clock,A circuit inside the processor that produces regular electrical pulses that are used to synchronize bus and control unit activities within the computer system. 
read-only memory (ROM),"A type of memory that permanently holds data even when it is not receiving power (persistent memory). The data contained in ROM cannot be updated or deleted, it is only readable. ROM is also directly accessible (see random-access memory) "
Water Usage Effectiveness (WUE),The ratio of total amount of water (in litres)used by a computer data center facility to the energy delivered to computing equipment (in kWh). 
program counter (PC),"A register in the processor in which the memory address of the next instruction to be executed is placed. Changing the value in the program counter allows the flow of execution of a program to be altered by the program itself, this allows conditional jumping (branching) during the programs execution. "
accumulator,A register within a processor that is used to store and manipulate data. 
address bus,An electrical pathway that carries a symbolic representation of a memory address between the memory and the processor. 
RAM,See random-access memory.
random-access memory (RAM),"A type of memory that holds data only while it receives power, when power is removed the content of the memory is lost. The term random-access signifies that direct access to any location in memory is possible, as opposed to serially addressable memory. That is, it takes the same amount of time to access data held in any location in memory. "
address register,A register that holds the address in memory from which data is to be fetched or sent to be stored.
arithmetic and logic unit (ALU),The part of the processor containing the circuits where the basic operations of arithmetic and logic manipulations are performed. 
register,"A small amount of very fast memory within the processor used for a special purpose, or as storage during instruction execution.The number and type of registers depends on the processor family. "
Reduced Instruction Set Computing (RISC),"A system in which the processor can execute a relatively small number of distinct fundamental, highly optimised instructions, each consisting of a single operation. "
secondary memory,"The part of a computer system in which programs, when not being executed, and data,when not being processed, are stored. Usually we think of hard disk drives as secondary storage, but frequently network storage devices and other data storage devices such as memory sticks are replacing hard disk drives in the role of secondary storage devices. "
source code,"Text representing a program that is usually input into a compiler or interpreter. Source code is usually written in a high level language, but can be written in a low-level language or assembly language. "
assembler,"A program that translates assembly language instructions into machine code (sometimes used to refer to the assembly language rather than the program, as in assembler code). "
source program,See source code.
virtual machine (VM),"A software computer that, like a physical computer, runs an operating system and applications."
status register,A register that holds information about the result of executing arithmetic or logical operations.
assembly language,"A low level computer language consisting of symbolic instructions and addresses that translate directly, symbol for symbol, into machine code. "
thread,"A task that is split up into independent subtasks, each of which is completed in parallel by a single processor and then, if necessary reassembled into a final solution. "
threading,An arrangement whereby multiple threads can execute in parallel either by a single processor or by the individual processors within a multi-core processor.
boot program,A program that is automatically executed when the computer is first switched on. 
translator,A computer program that performs the translation of a program written in a given programming language into a functionally equivalent program in another computer language. 
volatile memory,Computer storage that only maintains its data while the device is powered. Most RAM (random access memory) used for primary storage in personal computers is volatile memory. 
append,"The operation of adding an item to the end of a list, written as a_list + [an_item]. "
bottleneck,A point where data and instructions get backed up in their journey to and from the processor because of the difference in speed between the processor and main memory. One way of avoiding bottlenecks is by using cache memory. 
Turing machine,"An abstract machine that can carry out computations. In particular, the universal Turing Machine is said to have the property of Turing completeness - that is, it can accomplish any task that it is possible for a computer to do. More precisely, the universal Turing machine can simulate any other Turing machine. "
counting problem,"A type of problem requiring the counting of all or some items in a list, e.g. counting all numbers that satisfy a particular property. Counting problems are a particular kind of aggregation problems. "
bus,"An electrical pathway connecting parts of a computer system to allow data/instructions to flow from one part of the system to another.See also address bus, data bus, control bus, expansion bus and universal serial bus. "
universal serial bus (USB),"A standard for connecting computers and peripherals, allowing them to communicate. "
bytecode,The instruction set of a virtual machine (VM). 
virtualisation,Any configuration where a computer system is emulated using a virtual machine. 
aggregation problem,"A type of problem that involves computing a new value from all or part of the values in a list, e.g. summing all the numbers that are not negative. Aggregation problems are a generalisation of counting problems. "
cache memory,"High speed memory acting as a buffer between high speed and low speed parts of a computer system.For example, processor cache memory enables the fast processor to access data faster than it can access the slower main memory. "
word,A unit of data used by a particular processor design. A word is a fixed-sized piece of data handled as a unit by the instruction set or the hardware of the processor. 
numeric expression,"An expression that, when evaluated, results in an integer or floating-point number. "
retrieval problem,"A type of problem that involves finding a particular value in a list, e.g. the largest number. "
central processing unit (processor),"The core of the computer system that interprets and executes instructions, performs arithmetic and logic, and controls input, output and storage access. "
assignment operator,"The character =, which separates the variable from the expression in an assignment. "
search problem,The same as retrieval problem. 
integer,"A whole number, e.g. -5, 0, or 123. "
Accelerometer, A device that measures acceleration. It is commonly used in mobile phones for sensing motion. 
Complex Instruction Set Computing (CISC),"A system in which the processor can execute many more distinct instructions than in RISC computing, with each potentially consisting of many operations. "
floating-point number,"A number with a decimal point, e.g. -1.2, 0.5, or 12.3. "
Boolean expression,An expression that has the value True or False. 
Active Pixel Sensor (APS),"A type of image sensor. It is usually made using the complementary metal oxide semiconductor (CMOS) hence is also known as CMOS image sensor."
Android Open Source Project (AOSP),An open source project that develop the Android operation system. 
numeric operator,"An operator that takes (usually) two numbers and produces another number. Some of Python's numeric operators are:  (subtraction), + (addition), * (multiplication), / (division: always produces a floating-point number), // (floor division: always produces an integer) and % (remainder). "
Arithmetic mean,An average that is found by summing the data values in a data set and dividing by the number of values. 
Aspect ratio,"The ratio of the width to the height of an image sensor, image or screen. "
definition (of a function),A function definition specifies what happens when a function is called. It consists of a header and a body.
docstrings (documentation strings),A docstring briefly describes what a function does. The description is enclosed by triple quotes and should immediately follow the header of the function.
expression,"Expressions represent data items, also known as objects in Python. Expressions come in two varieties: basic and constructed. "
expression (constructed),"Constructed expressions are expression that can be constructed from other expressions. Lists, expressions formed with the arithmetic operators (*, +, -, /) and function expressions are examples of constructed expressions. "
formal argument,"A function header can have zero or more formal arguments. If a function header has n formal arguments, as in: def fun(formal_arg_1, ""? , formal_arg_n): then when the function is called with the arguments arg_1, ""? , arg_n, each of the arguments is assigned to the corresponding formal argument:  formal_arg_1 = arg_1 formal_arg_2 = arg_2 and so on."
function,A function consists of two parts: its interface and its implementation. Functions are bits of code that have been packaged for re-use. 
header,"The header of a function consists of the keyword def, the name of the function, between brackets, zero or more parameters, also known as formal arguments, and a colon."
id,"In Python, each object has an id (short for identifier). The id is a unique number associated with the object. You can get Python to show you the id of an object with the function id()."
implementation,"The implementation of a function determines what goes on when a function is called. For instance, a function definition can specify the implementation of a function."
interface,"The interface of a function consists of: the name of the function,what kind of argument(s) it needs,what it gives back as a return value, and what other effects calling the function has. The interface of a function is given by its header and the docstring of the function."
literals,"A literal is a basic expression that always stands for the very same object. For instance, the integer literal 2 always represents the integer 2 and the string literal 'hello' represents the five-character string hello. In this respect, literals differ from variables. Variables can represent different objects at different times."
Objects,"In Python, data items are objects. In Python, each object consists of three components: its id, its type, and its value."
name (of a function),"A function has a unique name. When we talk about a function we use its name, e.g. len, followed by a pair of brackets: len()."
parameter,A value specifying how an operation is carried out (Block 3 Part 1).
return value,"The return value of a function named fun with arguments arg_1, ""? , arg_n , is the object that the expression fun(arg_1, ""? , arg_n) evaluates to. If the return value is the object None, we sometimes say that the function has no return value."
test-driven development,Test-driven development is the good practice to write tests before writing the actual code.
nanotechnology,The branch of technology that deals with the manipulation of individual atoms and molecules.
near field communication (NFC),A communication standard for very short range of communications. It is the technology used in contactless payment cards. 
type,"In Python, each object has a type. Float, string, integer and list are examples of types. We can also get Python to tell us the type of an object using type()."
value (of an expression),"The value of an expression is the object that the expression represents. For instance, after num = 5 is executed, the expression num has the value 5. We also say that num evaluates to the value 5."
value (of an object),"The value of an object is a component of that object along with its id and its type. For instance, the integer object 5, has the value 5. List objects are containers. Their value consists of zero or more references to other objects. "
variables-as-blank-spaces-on-a-form metaphor,"In the variables-as-blank-spaces-on-a-form metaphor, variables are thought of as locations where one can store objects. A variable is compared to the blank spaces on a form."
Age standardised,Adjusted to take into account the fact that different groups of people have different age profiles.
Comma-separated values (csv),"A way of storing data, in which commas are used to separate items in a dataset from one another."
Correlation coefficient,A number that summarises how strongly two datasets are related.
Dispersion,How spread out the values in a dataset are. Low dispersion means most of the data are clustered close to the centre. High dispersion means the values are spaced more widely.
Heuristic,A method that may help discover the solution to a problem.
Interquartile range,Difference between upper and lower quartile. Used as a measure of dispersion.
Mean,An average calculated by dividing the total of a dataset by the number of values in the set.
Lexicographic order,An order similar to the order used in a dictionary.
Measure of central tendency,"An average; a number summarising a dataset as a single ""typical"" value that represents them all."
Median,The middle value of a set of data when arranged in order.
Quartile,"When a dataset is arranged in order, the value below which a quarter of the data lie is the lower quartile. The value above which a quarter of the data lie is the upper quartile."
Separator,"A character, such as a comma or space, used to separate items in a dataset from one another."
Skew,"A dataset is skewed if it has an asymmetric ""tail"" that stretches to the right or left."
Standard deviation,"A number that measures the dispersion of a dataset, in other words how widely spread it is."
almanac data,"tells the receiver roughly where each satellite in a GPS location is likely to be in the sky, and which ones are likely to be in sight."
Application Program Interface (API),"a set of routines, protocols, and tools for building software applications"
Automatic identification system (AIS),An identification system used to uniquely identify marine traffic.
Beacon,a Bluetooth transmitter that broadcasts a unique identifier that associates the beacon with a physical or contextual location.
Black box,"A device process, or system, whose inputs and outputs (and the relationships between them) are known, but whose internal structure or working is not considered."
Bluetooth,"A standard for the short-range wireless interconnection of mobile phones, computers, and other electronic devices."
Cell ID,A unique number used to identify a base station within a particular LAC grouping.
Cell Tower Localisation,the determination of a device's location based on its proximity to mobile phone network cell towers.
Classification schemes / taxonomies,a system for categorising related items according to various attributes or characteristics
De facto standard,"A standard that is widely adopted as a common practice, rather than out of a forced requirement, such as leglisation."
ephemeris data,the positions of naturally occurring astronomical objects as well as artificial satellites in the sky at a given time or times (from Wikipedia)
Fully connected device,A device permanently connected to the internet that is able to access services it requires on-demand and respond to requests from services it is associated with.
Geocoding/reverse geocoding,"looking up the geolocation from an address, point of interest or other identifier (geocoding) or the address/point of interest from a geolocation."
Geocoding service/ geocoder,A service that allows online mapping systems to take an address and resolve it to a latitude and longitude that be used to plot the location on a map.
Geofence,a notional (virtual) geographical boundary that can be used to define an area within which particular services may be offered (or withheld).
Geofencing,The process of creating a geofence
Geolocating,"a physical, geographical location, typically referenced using the latitude/longitude system of co-ordinates. By geolocating a device, we determine its geolocation."
geolocation,a location identity that is geographically-based according to a known co-ordinate system
geotagging,"associating geolocation data with a device or object, often by associating the location co-ordinates with a device or object ID in a centralised database."
Global Positioning System (GPS),line-of-sight satellite based system for determining outdoor location anywhere in the world.
Latitude/longitude,A co-ordinate system use to specify location at any point on the Earth's surface.
Iine of sight,"In a communication system, identifies a mode of propagation where a transmitter and receiver must be able to see each other directly with no intervening obstacles blocking the straight line view between them."
Localisation,A process of determining location. See also: geolocating
Location Area Code (LAC),Code number used to identify a grouped set of mobile phone network base station transmitters within a particular geographical area. 
Location based computing,A style of computing that is used to support the delivery of location based services
Location based services,services that provide information relevant to the location of the user or something of interest to the user
MAC Address (media access control address),"a unique (often hardware) address associated with a physical, networked device."
Mobile Country Code (MCC),Code used to identify the geographical country a mobile phone cell tower is located in.
Mobile Network Code (MNC),Code used in association with an MCC to identify the provider of a mobile phone service.
Reverse geo-coding,the process of identifying a location in human terms from a geolocation
Triangulation/trilateration,a technique for identifying the location of a point using its relative location to three other points of known location.
wearables,smart electronic devices (electronic device with microcontrollers) that can be worn on the body as implant or accessories
Wireless Access Point / Wireless Router,a physical device that provides connection to a network via Wifi.
Adware,Malware designed to download and display unwanted advertising material. Adware may be used to advertise illegal services or counterfeit goods. The term adware is also used for legitimate advertising presented by websites. 
Air gap,"A protective measure employed on computer systems in which there are no connections between computers in a secure part of the network and those on an insecure network. Data cannot pass between the two networks ensuring the secure network is protected from malware and external attacks. Computers on the secure network may have their network equipment removed, and their removable drives and USB ports sealed.  "
Authentication,The process of supplying information that permits a user to use a computer system. This is usually performed using a password or fingerprint. 
Authorisation,The process of comparing information (e.g. a password) with a stored value to confirm a user can use a computer system. 
Availability,"A cybersecurity concept that data should be available whenever it is needed. As an example, denial of service attacks affect availability. "
Brute force attack,A method of attacking computer security by testing every possible value for a password or key in turn. 
Botnet (zombie army),A large group of computers (zombies) that have been compromised by malware and have been instructed to perform tasks such as perform a denial of service attack on a target. 
CIA,"An acronym for the cybersecurity concepts of confidentiality, integrity and availability."
Click fraud,"A type of fraud either targeting companies whose advertising costs are based on the number of people who click on an advert; or increasing the apparent popularity of a site. Click fraud creates spurious clicks which can increase advertising costs for a company, or to boost the popularity of a site in search rankings. "
Command and control server,A central computer responsible for coordinating the actions of a botnet. 
Countermeasure,"Actions, measures or technologies which can be used to prevent or reduce the impact of a cyber security incident. Examples of countermeasures include strong passwords, encryption and antivirus programs. "
Denial of Service Attack (DoS),A type of cybersecurity attack performed with the intention of denying legitimate users access to a computer system. This is often performed by flooding the system's network or connection to the internet with spurious traffic. 
Distributed Denial of Service Attack (dDoS),A form of denial of service attack where the attackers are geographically dispersed. Botnets are commonly used to organise dDoS attacks. 
Exploit,Taking advantage of a bug or weakness in a computer to gain access to the system. 
Hacker,A skilled computer expert who can break into computer systems and networks. The term has increasingly developed negative connotations of being someone who wishes to cause harm. 
Hijacker,Malware which modifies a browser's settings without user permission. Hijackers commonly replace the user's home page or default search engine with one belong to its creators. Hijackers commonly carry other malware including keyloggers. 
Human factors,Behaviours of computer users that can be exploited by attackers to compromise computer security. 
Identification,Providing a user ID to a computer system. 
Information assets,"Any valuable data stored on a computer system. In some contexts, the computer hardware itself may also be considered as an asset. "
Integrity,A cybersecurity concept that data must not be changed without authorisation. 
Keylogger (program),"A malicious program, often included in larger pieces of malware which monitors key presses on a user's computer and either stores them for later retrieval by an attacker, or transmits them over the internet. Keyloggers may record all key presses, or they can be programmed to only retain certain data such as credit card numbers. "
Malware,A contraction of malicious software. Any software designed to disrupt the functioning of a computer or cause harm to data. 
One-time password,A computer password which is only valid for one login on a computer system. A common use for one-time passwords is giving users temporary access to a system so they can change their password. 
Persistent threat (advanced persistent threat),Any attacks on a computer system which monitor or steal information over an extended period of time. 
Phishing,Methods of attempting to obtain personal or sensitive information from a user by pretending to be a trustworthy party. Spam emails often attempt to phish data by appearing to come from companies such as banks or friends of the user. 
Polymorphism (metamorphism),"Malware which changes its programming, but retains the same functionality, when it is copied from computer to computer. Polymorphism helps malware avoid signature-based antivirus programs. "
Programmable Logic Controllers (PLC),"Computers designed to automate processes where reliability is especially important, such as industrial assembly lines or the distribution of essential services such as water or energy. "
Rootkit,"Malicious software designed to take control of a computer without the user's permission and which often hides its presence from the user, the operating system and from antivirus software. "
Self-replicating program,Any program which outputs an identical copy of its code when it is executed. Worms are an example of self-replication.  
Signature,A unique pattern of data on a disk or in computer memory created by the presence of malware which allows it to be identified and removed by antivirus software.
Spear phishing,"A type of phishing targeting distinct individuals or small groups of users. Since spear phishing relies on personal information about users, it often follows a general phishing campaign or the theft of data during hacking. "
Spyware,Malware which obtains information from users without their permission. 
